Date,World Equities,10-year US Treasuries,High Yield,Inflation Protection,Currency Protection,U.S. Equity,SP500 Total Return,S&P 500,International Equity,U.S. Treasury 20 years,Corporate Bond,Real Estate,Commodity,TIPS
1/1/95,-0.020348552,0.022922,0.032048224,0.006524008,-0.0034041,0.022238695,0.025954113,0.02589673,-0.039228178,0.025987,0.017042438,-0.014846878,-0.02390835,0.029446008
2/1/95,0.010680433,0.030014,0.013530549,-0.038374699,-0.0205868,0.036258158,0.035540184,0.03897385,-0.00043399,0.02696,0.02986953,0.032459819,0.002221243,-0.008360699
3/1/95,0.045803796,0.007195,0.025870647,-0.023184248,-0.0420602,0.030790763,0.035453865,0.02950239,0.061948755,0.009477,0.011936587,-0.005960715,0.019558217,-0.015989248
4/1/95,0.03637177,0.016973,0.030835758,-0.003599651,-0.0158271,0.022403259,0.026256449,0.02941379,0.037153962,0.017695,0.010995408,0.002259131,0.038084692,0.013373349
5/1/95,0.01103996,0.0549,0.006743247,-0.054282227,0.0091209,0.036520584,0.040894255,0.03994901,-0.00976907,0.076715,0.05321652,0.045025114,-0.009416682,0.000617773
6/1/95,0.000221,0.011343,0.013006737,-0.022001808,-0.0042541,0.03331198,0.027414573,0.02322265,-0.015972057,0.012271,0.005429912,0.017734698,-0.025919175,-0.010658808
7/1/95,0.04838329,-0.008576,0.005266597,-0.010890459,0.0062657,0.032858029,0.024269424,0.03313049,0.060826959,-0.014392,-0.009290265,0.015633381,0.016926729,-0.019466459
8/1/95,-0.021894489,0.014105,0.011854685,-0.014519423,0.0416515,0.018007203,0.010380084,0.002486292,-0.036476183,0.021698,0.020410452,0.014877502,0.038333363,-0.000414423
9/1/95,0.027511839,0.012995,0.008201058,-0.020419162,-0.0060914,0.028301887,0.033795071,0.04220478,0.018886661,0.016986,0.010177578,0.018302047,0.007723466,-0.007424162
10/1/95,-0.016714247,0.016065,0.009933651,-0.003820357,0.0023388,0.000573394,0.005866852,-0.003612542,-0.025930257,0.027172,0.016354019,-0.018396879,0.002320571,0.012244643
11/1/95,0.031456905,0.022024,0.016739663,-0.033395579,0.0128862,0.039541547,0.041631654,0.04388574,0.028449327,0.024804,0.017860134,0.010031109,0.034354145,-0.011371579
12/1/95,0.030112216,0.017912,0.0167196,-0.003767321,0.0005363,0.014332966,0.016543485,0.01924683,0.039386066,0.025105,0.013763488,0.054862028,0.091823827,0.014144679
1/1/96,0.022229622,0.006363,0.003051955,0.00446603,0.0254883,0.032065217,0.038196937,0.03393546,0.006108773,0.000786,0.004345741,0.0191517,-0.011010134,0.01082903
2/1/96,0.004163599,-0.028964,-0.004080756,0.039246882,-0.0114707,0.014744602,0.01143204,0.009263607,0.003165913,-0.045366,-0.014206838,0.00770616,0.038430087,0.010282882
3/1/96,0.015394324,-0.010249,0.001401768,0.02516232,0.0029874,0.019719772,0.016231836,0.009625562,0.021434913,-0.020551,-0.013533968,-0.001438932,0.090746933,0.01491332
4/1/96,0.024417678,-0.017066,0.007178493,0.012863948,0.0043121,0.016284987,0.00271222,0.01466542,0.029789138,-0.016512,-0.010278491,0.003253884,0.047689885,-0.004202052
5/1/96,0.001033919,-0.00588,0.004490218,0.027240145,0.0056271,0.02203305,0.022822459,0.02572285,-0.016834573,-0.005444,-0.001624824,0.02713973,-0.012429447,0.021360145
6/1/96,0.005484351,0.014535,0.006066626,-0.011078731,0.0010063,0.00244978,0.014006409,0.003798071,0.004589279,0.020281,0.01449926,0.013780815,0.045611655,0.003456269
7/1/96,-0.037349101,0.00053,0.012447986,0.01931727,-0.0130809,-0.046432063,-0.036638203,-0.04424482,-0.029021672,0.001757,0.01188884,0.008609949,-0.032236938,0.01984727
8/1/96,0.01233305,-0.00514,0.023266344,-0.002540774,0.0036153,0.01537673,0.005075976,0.02109729,0.004059316,-0.013689,-0.012191381,0.040686004,0.010782864,-0.007680774
9/1/96,0.036927339,0.022799,0.008679669,-0.005054461,0.0135614,0.054013125,0.059007527,0.05628821,0.027344879,0.029057,0.024496637,0.017391028,0.031038892,0.017744539
10/1/96,0.003998925,0.029722,0.020078288,-0.015532198,-0.0058739,0.01197318,0.022885771,0.02752565,-0.00642116,0.04029,0.021858682,0.032083333,-0.003779217,0.014189802
11/1/96,0.053460856,0.026511,0.008303285,-0.002528105,0.0032104,0.068622811,0.077107407,0.07558093,0.041485711,0.034708,0.022812171,0.045498587,0.08918868,0.023982895
12/1/96,-0.014484062,-0.021218,0.007513123,0.038511036,0.0084391,-0.011957484,-0.01923614,-0.01981692,-0.013623828,-0.024968,-0.012944603,0.099644746,0.009742525,0.017293036
1/1/97,0.016776346,-0.000088,0.015402651,-0.016701694,0.0358223,0.054235769,0.063348567,0.06241292,-0.030926045,-0.006384,0.005623307,0.011131595,-0.019516141,-0.016789694
2/1/97,0.013634022,-0.002146,-0.013757937,0.007969615,0.012573,0.003401361,0.012736977,0.007837939,0.015403388,-0.000853,-0.001492415,0.000859539,-0.063896409,0.005823615
3/1/97,-0.02000391,-0.019247,0.012811758,0.005547,0.0040772,-0.047457627,-0.043335713,-0.0410853,0.001261551,-0.023726,-0.011457773,-0.009247291,0.010861149,-0.0137
4/1/97,0.032118547,0.019041,0.021061418,-0.012957658,0.0237789,0.041814947,0.052622851,0.05963999,0.006388313,0.022389,0.016606699,-0.022799905,0.028960673,0.006083342
5/1/97,0.059667393,0.011188,0.015438795,-0.005746097,-0.0300765,0.071733561,0.062074428,0.06087951,0.066191444,0.011775,0.009241656,0.032005161,-0.0021449,0.005441903
6/1/97,0.051171207,0.017494,0.026506472,-0.020701377,0.0005728,0.050996016,0.054272541,0.04480315,0.053634806,0.019949,0.017510039,0.04799486,-0.043282117,-0.003207377
7/1/97,0.045216661,0.040304,-0.001206637,-0.030751461,0.0276994,0.06520091,0.064289706,0.07948323,0.018585775,0.056907,0.022112639,0.029931984,0.050744603,0.009552539
8/1/97,-0.070161866,-0.020309,0.018000604,0.023297048,0.0014587,-0.03202847,-0.048930865,-0.05605147,-0.073439201,-0.026807,-0.004676411,-0.00201094,0.013363329,0.002988048
9/1/97,0.053330905,0.022409,0.005102949,-0.020422903,-0.0077594,0.065808824,0.06391169,0.05476492,0.056363004,0.02869,0.023593759,0.079882324,0.023876303,0.001986097
10/1/97,-0.059543222,0.024771,0.009357105,-0.014463765,-0.0072384,-0.017247327,-0.016142202,-0.03343992,-0.075212497,0.031945,0.004838286,-0.025481225,0.016905167,0.010307235
11/1/97,0.01529838,0.001182,0.00962129,0.004409524,0.0260242,0.027729028,0.039796682,0.04629957,-0.01095053,0.013072,0.007882438,0.016949153,-0.084215969,0.005591524
12/1/97,0.013129351,0.014809,0.015930947,-0.019003713,0.0174178,0.00034153,-0.003068551,0.01717444,0.009754622,0.020765,0.010066408,0.0196867,-0.071357885,-0.004194713
1/1/98,0.022014529,0.021106,0.004048583,-0.016207881,0.0062263,0.024581769,0.032719276,0.01101466,0.042862422,0.018997,0.010874619,-0.004675244,-0.016860782,0.004898119
2/1/98,0.068409918,-0.007748,0.009512721,0.006870636,-0.0121535,0.051316228,0.048025305,0.07212678,0.06535754,-0.007789,-0.003823433,-0.016970785,-0.065717069,-0.000877364
3/1/98,0.04266825,0.002537,0.004303676,-0.003024852,0.0169859,0.058954041,0.05901828,0.05120096,0.033073848,0.004145,0.012585299,0.016493803,-0.012267166,-0.000487852
4/1/98,0.009372547,0.003324,0.005993726,0.000385488,-0.0091294,0.011074529,0.012520529,0.01000537,0.007997903,0.001752,0.003456018,-0.03214787,-0.004038956,0.003709488
5/1/98,-0.018973561,0.010086,0.005178462,-0.002888957,0.0173512,-0.035820012,-0.025130004,-0.01721636,-0.004969765,0.019128,0.013079699,-0.008478478,-0.068777901,0.007197043
6/1/98,0.018016338,0.013545,0.006370485,-0.011130941,0.004736,0.050046055,0.053974235,0.04060986,0.005537834,0.023736,0.007755159,-0.006237183,-0.030118797,0.002414059
7/1/98,0.000326714,0.000356,-0.050476138,0.004267832,0.0160957,-0.040935673,-0.030500524,-0.01068821,0.006763469,-0.003381,0.001508195,-0.065551048,-0.092217046,0.004623832
8/1/98,-0.140102133,0.036926,0.002608696,-0.034720611,0.0008829,-0.119207317,-0.104950014,-0.1445803,-0.127485013,0.050261,-0.002878011,-0.103474138,-0.026712202,0.002205389
9/1/98,0.019892656,0.052732,-0.021364556,-0.032544476,-0.0357161,-0.003115265,-0.00638603,0.06406494,-0.028293743,0.030753,0.039125641,0.063475982,0.062180394,0.020187524
10/1/98,0.091328015,-0.010324,0.051874391,0.012480991,-0.0349595,0.125694444,0.128015395,0.08133081,0.104402785,-0.021293,-0.024602384,-0.027234667,-0.029295775,0.002156991
11/1/98,0.060710049,-0.006612,-0.001797399,0.005582616,0.019785,0.056446638,0.058793208,0.0606083,0.050917543,0.013216,0.025253255,0.018203545,-0.122777397,-0.001029384
12/1/98,0.046441285,0.009652,0.013504769,-0.015647316,-0.0228155,0.055474453,0.047110269,0.05762353,0.03861599,-0.004155,0.002915599,-0.030126276,-0.014771041,-0.005995316
1/1/99,0.020437423,0.003291,-0.00680121,0.008394986,0.0104021,0.033748271,0.036408822,0.04181627,0.000424176,0.00989,0.004528308,-0.019288684,-0.00849083,0.011685986
2/1/99,-0.025132972,-0.044006,0.011627257,0.037019507,0.0203307,-0.03398448,-0.027703827,-0.03108589,-0.024921876,-0.049889,-0.024766017,-0.024325302,-0.031160209,-0.006986493
3/1/99,0.044979421,0.00863,0.018290324,-0.008817617,0.0042771,0.044598338,0.047808152,0.04000777,0.041966705,-0.000689,0.011692415,-0.014481729,0.157856829,-0.000187617
4/1/99,0.043203666,-0.003474,-0.009170827,0.010135663,-0.0004818,0.053301512,0.047820617,0.03871723,0.043116827,0.003155,0.005609512,0.109036703,0.053190322,0.006661663
5/1/99,-0.035336447,-0.022526,-0.002491922,0.029423195,0.0110782,-0.03776435,-0.043209305,-0.02326275,-0.050290536,-0.014986,-0.021937058,0.016694941,-0.072044958,0.006897195
6/1/99,0.049786867,-0.007152,0.001345156,0.007799968,0.005193,0.063317635,0.068078253,0.05549742,0.039330417,-0.013139,0.001222359,-0.017781353,0.07499883,0.000647968
7/1/99,-0.004086662,-0.004171,-0.010554885,0.003615958,-0.020489,-0.038877953,-0.03753846,-0.03122499,0.02902037,-0.006544,-0.004504718,-0.036372031,0.053157448,-0.000555042
8/1/99,-0.001200556,-0.00452,-0.004017622,0.006278608,-0.0079304,0.000256016,0.003812261,-0.004934655,0.003071224,-0.003605,-0.002437605,-0.020874958,0.055232426,0.001758608
9/1/99,-0.010781168,0.012027,-0.005424804,-0.00805398,-0.0152565,-0.034041464,-0.035322672,-0.02741564,0.011024904,0.007494,0.006142885,-0.040387066,0.055287426,0.00397302
10/1/99,0.05064597,-0.006109,0.0130346,0.008041634,-0.0000515,0.060413355,0.056313393,0.06327362,0.038859799,-0.001441,0.006513683,-0.016011085,-0.039798945,0.001932634
11/1/99,0.031071824,-0.00659,0.006046884,0.012652276,0.0128849,0.043228386,0.033691858,0.02032916,0.0351809,-0.003845,0.002106427,-0.024554095,0.034791114,0.006062276
12/1/99,0.083308175,-0.012402,-0.003842354,0.004367672,-0.0066047,0.062035928,0.041957403,0.05889359,0.092150179,-0.015267,-0.008892767,0.020500637,0.033699847,-0.008034328
1/1/00,-0.053943526,-0.009799,0.002148997,0.014308894,0.0248472,-0.022553,-0.030900348,-0.05024244,-0.0605806,0.017036,0.005447877,0.018291126,0.089183416,0.004509894
