date,FRC,PNC,USB,JPM,BAC,C,RY,WFC,GS,MS,HSBC,JNJ,PFE,MRK,XOM,RDS,CVS,BP,AAPL,GOOG,MSFT,BABA,SP500
1/3/2000,,-0.051966,-0.065617,-0.060338,-0.034869,-0.050505,-0.031161,-0.032457,-0.062376,-0.054291,-0.009632,-0.011394,-0.017341,0.006512,-0.02948,,-0.034632,-0.00843,0.088754,,-0.001606,,-0.009549
1/4/2000,,-0.031111,-0.033708,-0.023493,-0.059355,-0.042553,-0.001462,-0.051118,-0.062987,-0.074074,-0.061008,-0.03661,-0.037255,-0.037893,-0.017586,,0,-0.005313,-0.08431,,-0.03378,,-0.038345
1/5/2000,,0.004587,-0.002907,-0.006173,0.010974,0.003704,-0.005857,-0.008418,-0.046828,-0.0365,-0.00565,0.010556,0.016293,0.042267,0.054516,,0.017937,0.034188,0.014634,,0.010544,,0.001922
1/6/2000,,0.047184,0.03207,0.014197,0.071913,0.065191,0.008837,0.044143,0.042789,0.019201,-0.028409,0.035515,0.036072,0.008295,0.049383,,0.042584,0.002066,-0.086538,,-0.033498,,0.000956
1/7/2000,,0.001453,0.022599,0.018373,-0.013924,-0.002309,-0.013139,0.017886,0.003799,0.031059,0.028265,0.038332,0.071567,0.095978,-0.000735,,0.017606,-0.018557,0.047368,,0.013068,,0.02709
1/10/2000,,-0.034833,-0.027624,-0.017182,-0.03466,-0.001157,-0.004438,-0.031949,0.021953,0.035259,0.000948,-0.025259,-0.005415,-0.029191,-0.013981,,-0.02699,-0.029412,-0.017588,,0.007291,,0.01119
1/11/2000,,-0.010526,0.005682,-0.023601,-0.021277,-0.015064,-0.022288,-0.016502,0.005185,0,-0.051136,0.003322,-0.001815,0.003436,0.002985,,-0.009246,0,-0.051151,,-0.025612,,-0.013063
1/12/2000,,0.032219,0.008475,0.006267,0.01087,0.035294,-0.009119,0.028523,-0.005158,0.007656,0.011976,-0.009272,0.021818,0.019692,-0.005952,,-0.003589,-0.020563,-0.059973,,-0.032571,,-0.004386
1/13/2000,,0.090774,0.028011,0.015125,0.022849,0.010227,0.016871,0.055465,0.001481,0.006173,0.013807,-0.001337,0.048043,0.004198,0.020958,,0.009366,0.014365,0.109677,,0.018901,,0.01217
1/14/2000,,0.020464,0.00545,0.035933,0.059133,0.04387,0.001508,0.030912,0.013314,0.03681,-0.005837,0.003347,0.008489,-0.008361,-0.017595,,-0.006424,-0.035948,0.038114,,0.041159,,0.010671
1/18/2000,,-0.01738,-0.04065,-0.038917,-0.047146,0.008621,-0.010542,-0.067466,0.014599,-0.025944,-0.010763,-0.02535,-0.016835,-0.044688,0.007463,,0.02658,0.00791,0.034848,,0.027283,,-0.006832
1/19/2000,,-0.013605,-0.014124,0.044014,-0.019531,0.021368,-0.013699,-0.054662,0.007914,0.014486,-0.03363,0.003422,0.013699,0.009709,0.014074,,-0.015395,0.004484,0.025256,,-0.072087,,0.000522
1/20/2000,,-0.028966,-0.020057,-0.015177,-0.021248,-0.035565,0,-0.010204,-0.017188,-0.006449,-0.052201,-0.010914,-0.032095,0.020105,-0.021914,,-0.004975,-0.023438,0.065103,,-0.009346,,-0.007095
1/21/2000,,-0.002841,-0.023392,-0.000856,-0.008141,-0.020607,-0.011358,0.006873,-0.002909,-0.017153,0.021598,-0.008276,-0.020942,-0.006855,0.015683,,0.012143,0.028571,-0.019273,,-0.021226,,-0.002912
1/24/2000,,-0.009972,-0.011976,0.000857,-0.024624,-0.022148,-0.023734,-0.020478,-0.045952,-0.033962,0.0074,-0.068846,-0.019608,-0.030198,-0.008824,,0.002823,-0.004444,-0.04548,,-0.024096,,-0.027634
1/25/2000,,0.014388,0.009091,0.02226,0.012623,0.012458,0.024311,0.04878,0.025994,0.01123,-0.009444,0.018671,0.014545,0.008897,-0.002226,,-0.002815,-0.020089,0.056471,,0.015432,,0.006065
1/26/2000,,0.025532,0.036036,0.047739,0.044321,0.040268,0.030063,0.016611,0.052161,0.026557,0.019068,-0.020528,0.001792,0.027337,-0.006691,,-0.017643,-0.001139,-0.018374,,-0.033435,,-0.004213
1/27/2000,,0.033195,0.026087,0.031974,0.02122,0.015054,0.078341,0.019608,0.008499,0.016933,0.024948,-0.035928,-0.012522,0.018026,-0.02994,,-0.030891,-0.012543,-0.001702,,-0.006289,,-0.003938
1/28/2000,,-0.017403,-0.050847,-0.049574,-0.049351,-0.048729,-0.038462,-0.00641,-0.022472,-0.062905,-0.026369,0.049689,0.019928,0.030354,-0.026235,,-0.020756,-0.003464,-0.076136,,-0.005063,,-0.027457
1/31/2000,,0.046322,0.056548,0.05216,0.058743,0.01559,-0.017778,0.032258,0.053161,0.046397,0.01875,0.018491,0.028419,0.031915,0.057845,,0.012869,-0.003476,0.02091,,-0.003817,,0.025218
2/1/2000,,0.005208,0.002817,0.037955,0,0.02193,0,0.010937,-0.004093,-0.033962,-0.022495,-0.014524,0.022453,-0.025377,-0.002996,,-0.005232,0.013953,-0.033735,,0.051724,,0.010628
2/2/2000,,-0.032383,-0.011236,-0.016418,-0.014194,-0.020386,-0.022624,-0.030108,-0.00137,0.017578,-0.012552,0.006632,-0.030405,0.000814,0.007513,,-0.006762,-0.010321,-0.014339,,-0.020644,,-0.000114
2/3/2000,,-0.025435,-0.002841,0.009863,-0.027487,-0.01034,-0.018519,-0.003205,-0.0631,0.017274,0.013771,-0.024158,-0.006969,-0.00813,-0.017151,,-0.014372,-0.032445,0.045541,,0.027898,,0.011248
2/4/2000,,-0.020604,-0.02849,-0.01728,-0.02288,-0.027747,0.003145,-0.008039,-0.008053,-0.008491,-0.038662,-0.014254,0.003509,-0.015574,-0.018209,,-0.035303,-0.056287,0.045372,,0.028347,,-0.000421
2/7/2000,,-0.009818,0,0.005352,-0.001377,-0.006849,0.015674,-0.009724,0.012546,-0.008563,-0.006522,-0.008371,0.027972,0.002498,-0.001546,,0.006364,-0.015228,0.056134,,0.000587,,-9.10E-05
2/8/2000,,0.021246,0.017595,0.034981,0.04,0.025287,0.016975,0.01964,0.043003,0.041267,0.031729,0.007675,0.028912,0.002492,-0.022446,,-0.009486,-0.007732,0.007123,,0.031067,,0.012273
2/9/2000,,-0.022191,-0.054755,-0.025716,-0.022546,-0.028027,-0.004552,-0.027287,-0.030049,-0.009217,-0.007423,-0.025133,-0.044628,-0.053853,-0.030847,,-0.042298,-0.046753,-0.019587,,-0.054008,,-0.020822
2/10/2000,,-0.031206,-0.015244,0.003017,-0.02578,-0.009227,-0.010671,-0.029703,-0.001441,-0.005581,-0.008547,-0.025,-0.020761,-0.033275,-0.002465,,0.024167,0.049046,0.007769,,0.019231,,0.003634
2/11/2000,,-0.013177,-0.012384,-0.006015,0.006964,0.005821,0.001541,0.030612,-0.017316,-0.000935,-0.036638,-0.003622,-0.033569,-0.054348,-0.026359,,-0.036615,-0.031169,-0.04185,,-0.057193,,-0.020969
2/14/2000,,-0.011869,-0.034483,-0.043116,-0.020747,0,-0.016923,-0.00165,0.016153,-0.011236,0,0.002421,0.023766,0.012452,0.034687,,-0.002534,0.017426,0.064943,,-0.003127,,0.002033
2/15/2000,,0.036036,0.003247,0.025296,0.031073,0.005787,0.015649,-0.003306,0,-0.006629,0.024609,0.02657,0.016071,-0.006623,0.037612,,0.049958,-0.001318,0.027523,,-0.010665,,0.008713
2/16/2000,,-0.021739,-0.012945,-0.019275,-0.009589,-0.00748,0.01849,-0.034826,-0.041185,-0.010486,0.053493,0.001569,-0.036134,-0.001905,0.004137,,0.012419,0.039578,-0.040966,,-0.009512,,-0.010256
2/17/2000,,-0.01037,0,-0.014151,-0.012448,-0.026087,-0.007564,-0.039519,-0.009797,-0.025048,0.006218,-0.007831,-0.010969,-0.034351,-0.02217,,-0.000803,-0.007614,0.006572,,0.020487,,0.000425
2/18/2000,,-0.041916,-0.036066,-0.046252,-0.019608,-0.020238,-0.001524,-0.041145,-0.015982,-0.031621,-0.044284,-0.022099,0.005545,-0.019763,-0.036918,,-0.020096,-0.040921,-0.031556,,-0.045797,,-0.030376
2/22/2000,,-0.0125,-0.010204,0.033445,0.022857,0.001215,-0.016794,0.044776,0.009281,0.017347,-0.010776,0.015335,-0.020221,0.056452,0.005833,,-0.006563,-0.032,0.023034,,-0.013149,,0.004517
2/23/2000,,-0.009494,-0.020619,0.001618,0.022346,-0.01699,0.015528,-0.053571,0.051341,0.055165,0.010893,-0.031797,0.020638,-0.03626,-0.010771,,-0.032205,-0.001653,0.021417,,0.004664,,0.006301
2/24/2000,,-0.028754,-0.003509,-0.017771,-0.020492,-0.022222,0.003058,-0.007547,0.04519,0.05038,-0.002155,-0.031199,-0.027574,-0.024752,-0.024288,,-0.024744,-0.030556,-0.009005,,0.005305,,-0.005336
2/25/2000,,-0.009868,0.03169,-0.001645,-0.015342,-0.022727,0.02439,-0.005703,-0.004184,0.011765,-0.00216,-0.034746,-0.020794,-0.022335,-0.024034,,-0.005249,0.017192,-0.04191,,-0.03628,,-0.014829
2/28/2000,,0.038206,0.015154,0.027183,0.041076,0.020672,0.028274,0.043977,-0.014006,-0.009839,0.018398,0.021949,-0.005792,0.022845,0.034301,,0.049252,0.032394,0.026048,,0.002738,,0.011017
2/29/2000,,-0.0096,-0.003401,0.021652,0.001361,0.049367,-0.013025,-0.031136,0.051136,0.018067,0.01169,-0.010309,-0.001942,0,0.02466,,0.001676,0.027285,0.012141,,-0.023891,,0.013627
