DATE,WTB3MS
1/8/1954,1.3
1/15/1954,1.28
1/22/1954,1.11
1/29/1954,1.01
2/5/1954,0.99
2/12/1954,0.91
2/19/1954,0.98
2/26/1954,0.98
3/5/1954,1.03
3/12/1954,1.04
3/19/1954,1.02
3/26/1954,1.03
4/2/1954,1.03
4/9/1954,1
4/16/1954,1.04
4/23/1954,0.99
4/30/1954,0.82
5/7/1954,0.75
5/14/1954,0.8
5/21/1954,0.79
5/28/1954,0.71
6/4/1954,0.69
6/11/1954,0.61
6/18/1954,0.63
6/25/1954,0.62
7/2/1954,0.65
7/9/1954,0.66
7/16/1954,0.72
7/23/1954,0.74
7/30/1954,0.78
8/6/1954,0.79
8/13/1954,0.91
8/20/1954,0.92
8/27/1954,0.99
9/3/1954,1.03
9/10/1954,1.02
9/17/1954,1.02
9/24/1954,0.99
10/1/1954,0.99
10/8/1954,0.94
10/15/1954,0.98
10/22/1954,1
10/29/1954,1
11/5/1954,1
11/12/1954,0.9
11/19/1954,0.89
11/26/1954,0.92
12/3/1954,1.02
12/10/1954,1.09
12/17/1954,1.25
12/24/1954,1.23
12/31/1954,1.08
1/7/1955,1.09
1/14/1955,1.28
1/21/1955,1.32
1/28/1955,1.24
2/4/1955,1.11
2/11/1955,1.05
2/18/1955,1.16
2/25/1955,1.35
3/4/1955,1.29
3/11/1955,1.23
3/18/1955,1.26
3/25/1955,1.3
4/1/1955,1.37
4/8/1955,1.5
4/15/1955,1.63
4/22/1955,1.65
4/29/1955,1.62
5/6/1955,1.55
5/13/1955,1.42
5/20/1955,1.41
5/27/1955,1.44
6/3/1955,1.37
6/10/1955,1.41
6/17/1955,1.47
6/24/1955,1.37
7/1/1955,1.43
7/8/1955,1.51
7/15/1955,1.57
7/22/1955,1.61
7/29/1955,1.71
8/5/1955,1.88
8/12/1955,1.87
8/19/1955,1.84
8/26/1955,1.9
9/2/1955,2.08
9/9/1955,2.1
9/16/1955,2.06
9/23/1955,1.99
9/30/1955,2.11
10/7/1955,2.21
10/14/1955,2.26
10/21/1955,2.25
10/28/1955,2.21
11/4/1955,2.06
11/11/1955,2.05
11/18/1955,2.29
11/25/1955,2.41
12/2/1955,2.41
12/9/1955,2.48
12/16/1955,2.54
12/23/1955,2.63
12/30/1955,2.58
1/6/1956,2.51
1/13/1956,2.53
1/20/1956,2.39
1/27/1956,2.28
2/3/1956,2.29
2/10/1956,2.26
2/17/1956,2.35
2/24/1956,2.4
3/2/1956,2.24
3/9/1956,2.24
3/16/1956,2.36
3/23/1956,2.26
3/30/1956,2.21
4/6/1956,2.38
4/13/1956,2.55
4/20/1956,2.74
4/27/1956,2.71
5/4/1956,2.61
5/11/1956,2.55
5/18/1956,2.67
5/25/1956,2.65
6/1/1956,2.55
6/8/1956,2.53
6/15/1956,2.51
6/22/1956,2.41
6/29/1956,2.48
7/6/1956,2.34
7/13/1956,2.33
7/20/1956,2.26
7/27/1956,2.32
8/3/1956,2.29
8/10/1956,2.4
8/17/1956,2.64
8/24/1956,2.82
8/31/1956,2.72
9/7/1956,2.69
9/14/1956,2.79
9/21/1956,2.91
9/28/1956,2.94
10/5/1956,2.87
10/12/1956,2.96
10/19/1956,2.94
10/26/1956,2.86
11/2/1956,2.85
11/9/1956,2.9
11/16/1956,2.99
11/23/1956,3.05
11/30/1956,3.08
12/7/1956,3.12
12/14/1956,3.24
12/21/1956,3.27
12/28/1956,3.2
1/4/1957,3.16
1/11/1957,3.08
1/18/1957,3.09
1/25/1957,3.1
2/1/1957,3.16
2/8/1957,3.05
2/15/1957,3
2/22/1957,3.15
3/1/1957,3.25
3/8/1957,3.18
3/15/1957,3.15
3/22/1957,3
3/29/1957,2.97
4/5/1957,3.03
4/12/1957,3.13
4/19/1957,3.11
4/26/1957,3.02
5/3/1957,3
5/10/1957,2.93
5/17/1957,2.98
5/24/1957,3.14
5/31/1957,3.26
6/7/1957,3.3
6/14/1957,3.27
6/21/1957,3.36
6/28/1957,3.23
7/5/1957,3.19
7/12/1957,3.13
7/19/1957,3.04
7/26/1957,3.18
8/2/1957,3.34
8/9/1957,3.29
8/16/1957,3.4
8/23/1957,3.32
8/30/1957,3.47
9/6/1957,3.54
9/13/1957,3.55
9/20/1957,3.58
9/27/1957,3.48
10/4/1957,3.49
10/11/1957,3.54
10/18/1957,3.64
10/25/1957,3.59
11/1/1957,3.59
11/8/1957,3.51
11/15/1957,3.38
11/22/1957,3.12
11/29/1957,3.14
12/6/1957,3.07
12/13/1957,3.01
12/20/1957,3.12
12/27/1957,3.1
1/3/1958,2.77
1/10/1958,2.75
1/17/1958,2.57
1/24/1958,2.37
1/31/1958,1.92
2/7/1958,1.65
2/14/1958,1.69
2/21/1958,1.61
2/28/1958,1.22
3/7/1958,1.39
3/14/1958,1.39
3/21/1958,1.33
3/28/1958,1.11
4/4/1958,1.09
4/11/1958,1.1
4/18/1958,1.13
4/25/1958,1.13
5/2/1958,1.23
5/9/1958,1.11
5/16/1958,1.02
5/23/1958,0.74
5/30/1958,0.58
6/6/1958,0.71
6/13/1958,0.83
6/20/1958,0.92
6/27/1958,0.9
7/4/1958,0.79
7/11/1958,0.95
7/18/1958,0.94
7/25/1958,0.88
8/1/1958,0.94
8/8/1958,1.2
8/15/1958,1.58
8/22/1958,1.91
8/29/1958,2.23
9/5/1958,2.32
9/12/1958,2.37
9/19/1958,2.45
9/26/1958,2.48
10/3/1958,2.7
10/10/1958,2.64
10/17/1958,2.67
10/24/1958,2.69
10/31/1958,2.53
11/7/1958,2.49
11/14/1958,2.71
11/21/1958,2.73
11/28/1958,2.73
12/5/1958,2.79
12/12/1958,2.82
12/19/1958,2.82
