caldt,sprtrn
2000/01/03,-0.009549
2000/01/04,-0.038345
2000/01/05,0.001922
2000/01/06,0.000956
2000/01/07,0.027090
2000/01/10,0.011190
2000/01/11,-0.013063
2000/01/12,-0.004386
2000/01/13,0.012170
2000/01/14,0.010671
2000/01/18,-0.006832
2000/01/19,0.000522
2000/01/20,-0.007095
2000/01/21,-0.002912
2000/01/24,-0.027634
2000/01/25,0.006065
2000/01/26,-0.004213
2000/01/27,-0.003938
2000/01/28,-0.027457
2000/01/31,0.025218
2000/02/01,0.010628
2000/02/02,-0.000114
2000/02/03,0.011248
2000/02/04,-0.000421
2000/02/07,-0.000091
2000/02/08,0.012273
2000/02/09,-0.020822
2000/02/10,0.003634
2000/02/11,-0.020969
2000/02/14,0.002033
2000/02/15,0.008713
2000/02/16,-0.010256
2000/02/17,0.000425
2000/02/18,-0.030376
2000/02/22,0.004517
2000/02/23,0.006301
2000/02/24,-0.005336
2000/02/25,-0.014829
2000/02/28,0.011017
2000/02/29,0.013627
2000/03/01,0.009346
2000/03/02,0.001863
2000/03/03,0.019837
2000/03/06,-0.012695
2000/03/07,-0.025631
2000/03/08,0.008173
2000/03/09,0.025602
2000/03/10,-0.004723
2000/03/13,-0.008207
2000/03/14,-0.017685
2000/03/15,0.024280
2000/03/16,0.047639
2000/03/17,0.004114
2000/03/20,-0.005353
2000/03/21,0.025566
2000/03/22,0.004532
2000/03/23,0.017799
2000/03/24,0.000072
2000/03/27,-0.002357
2000/03/28,-0.010585
2000/03/29,0.000524
2000/03/30,-0.013656
2000/03/31,0.007164
2000/04/03,0.004931
2000/04/04,-0.007464
2000/04/05,-0.004924
2000/04/06,0.009392
2000/04/07,0.009998
2000/04/10,-0.007841
2000/04/11,-0.002572
2000/04/12,-0.022271
2000/04/13,-0.018171
2000/04/14,-0.058278
2000/04/17,0.033084
2000/04/18,0.028663
2000/04/19,-0.009808
2000/04/20,0.004953
2000/04/24,-0.003262
2000/04/25,0.033276
2000/04/26,-0.011134
2000/04/27,0.002690
2000/04/28,-0.008526
2000/05/01,0.010892
2000/05/02,-0.014957
2000/05/03,-0.021566
2000/05/04,-0.003908
2000/05/05,0.016360
2000/05/08,-0.005905
2000/05/09,-0.008447
2000/05/10,-0.020600
2000/05/11,0.017902
2000/05/12,0.009341
2000/05/15,0.022098
2000/05/16,0.009419
2000/05/17,-0.012442
2000/05/18,-0.007315
2000/05/19,-0.021055
2000/05/22,-0.004428
2000/05/23,-0.019176
2000/05/24,0.018335
2000/05/25,-0.012530
2000/05/26,-0.002533
2000/05/30,0.032242
2000/05/31,-0.001301
2000/06/01,0.019858
2000/06/02,0.019637
2000/06/05,-0.006519
2000/06/06,-0.006671
2000/06/07,0.009274
2000/06/08,-0.006586
2000/06/09,-0.003229
2000/06/12,-0.007516
2000/06/13,0.016210
2000/06/14,0.000749
2000/06/15,0.005569
2000/06/16,-0.009650
2000/06/19,0.014708
2000/06/20,-0.006763
2000/06/21,0.002155
2000/06/22,-0.018220
2000/06/23,-0.007368
2000/06/26,0.009594
2000/06/27,-0.003271
2000/06/28,0.002944
2000/06/29,-0.008544
2000/06/30,0.008465
2000/07/03,0.010271
2000/07/05,-0.015862
2000/07/06,0.007219
2000/07/07,0.015261
2000/07/10,-0.002218
2000/07/11,0.003565
2000/07/12,0.008130
2000/07/13,0.001956
2000/07/14,0.009453
2000/07/17,0.000338
2000/07/18,-0.011089
2000/07/19,-0.007886
2000/07/20,0.009184
2000/07/21,-0.010284
2000/07/24,-0.010742
2000/07/25,0.006952
2000/07/26,-0.014955
2000/07/27,-0.001928
2000/07/28,-0.020509
2000/07/31,0.007705
2000/08/01,0.005081
2000/08/02,0.000417
2000/08/03,0.009634
2000/08/04,0.007139
2000/08/07,0.011204
2000/08/08,0.002352
2000/08/09,-0.006697
2000/08/10,-0.008568
2000/08/11,0.007937
2000/08/14,0.013398
2000/08/15,-0.004780
2000/08/16,-0.003085
2000/08/17,0.010961
2000/08/18,-0.002908
2000/08/21,0.005202
2000/08/22,-0.000900
2000/08/23,0.005233
2000/08/24,0.001554
2000/08/25,-0.001233
2000/08/28,0.005072
2000/08/29,-0.002807
2000/08/30,-0.004802
2000/08/31,0.010043
2000/09/01,0.002036
2000/09/05,-0.009002
2000/09/06,-0.009840
2000/09/07,0.006876
2000/09/08,-0.005331
2000/09/11,-0.003506
2000/09/12,-0.004882
2000/09/13,0.001970
2000/09/14,-0.002721
2000/09/15,-0.010170
2000/09/18,-0.014531
2000/09/19,0.010654
2000/09/20,-0.005863
2000/09/21,-0.001578
2000/09/22,-0.000228
2000/09/25,-0.006689
2000/09/26,-0.008214
2000/09/27,-0.000448
2000/09/28,0.022235
2000/09/29,-0.014935
2000/10/02,-0.000195
2000/10/03,-0.006803
2000/10/04,0.005510
2000/10/05,0.001367
2000/10/06,-0.019000
2000/10/09,-0.004940
2000/10/10,-0.010706
2000/10/11,-0.016171
2000/10/12,-0.025509
2000/10/13,0.033381
2000/10/16,0.000327
2000/10/17,-0.017932
2000/10/18,-0.005808
2000/10/19,0.034743
2000/10/20,0.005883
2000/10/23,-0.000823
2000/10/24,0.001684
2000/10/25,-0.023767
2000/10/26,-0.000337
2000/10/27,0.011096
2000/10/30,0.013830
2000/10/31,0.021978
2000/11/01,-0.005723
2000/11/02,0.004996
2000/11/03,-0.001141
2000/11/06,0.003855
2000/11/07,-0.000223
2000/11/08,-0.015777
2000/11/09,-0.006486
2000/11/10,-0.024398
2000/11/13,-0.010776
2000/11/14,0.023452
2000/11/15,0.004960
2000/11/16,-0.012584
2000/11/17,-0.003352
2000/11/20,-0.018352
2000/11/21,0.003523
2000/11/22,-0.018548
2000/11/24,0.014678
2000/11/27,0.005366
2000/11/28,-0.009548
2000/11/29,0.004371
2000/11/30,-0.020105
2000/12/01,0.000213
2000/12/04,0.007406
2000/12/05,0.038922
2000/12/06,-0.018220
2000/12/07,-0.005853
2000/12/08,0.019605
2000/12/11,0.007526
2000/12/12,-0.006535
2000/12/13,-0.008161
2000/12/14,-0.014015
2000/12/15,-0.021463
2000/12/18,0.008071
2000/12/19,-0.012958
2000/12/20,-0.031296
2000/12/21,0.008002
2000/12/22,0.024403
2000/12/26,0.007060
2000/12/27,0.010440
2000/12/28,0.003988
2000/12/29,-0.010448
2001/01/02,-0.028032
2001/01/03,0.050099
2001/01/04,-0.010552
2001/01/05,-0.026242
2001/01/08,-0.001918
2001/01/09,0.003812
2001/01/10,0.009586
2001/01/11,0.010318
2001/01/12,-0.006406
2001/01/16,0.006319
2001/01/17,0.002126
2001/01/18,0.013915
2001/01/19,-0.004028
2001/01/22,0.000268
2001/01/23,0.013032
2001/01/24,0.002867
2001/01/25,-0.004977
2001/01/26,-0.001886
2001/01/29,0.006805
2001/01/30,0.007008
2001/01/31,-0.005620
2001/02/01,0.005461
2001/02/02,-0.017474
2001/02/05,0.003587
2001/02/06,-0.001514
2001/02/07,-0.008408
2001/02/08,-0.006235
2001/02/09,-0.013336
2001/02/12,0.011827
2001/02/13,-0.008652
2001/02/14,-0.002184
2001/02/15,0.008124
2001/02/16,-0.018905
2001/02/20,-0.017357
2001/02/21,-0.018508
2001/02/22,-0.001952
2001/02/23,-0.005555
2001/02/26,0.017490
2001/02/27,-0.007660
2001/02/28,-0.014309
2001/03/01,0.001040
2001/03/02,-0.005680
2001/03/05,0.005858
2001/03/06,0.009981
2001/03/07,0.006452
2001/03/08,0.002259
2001/03/09,-0.024764
2001/03/12,-0.043181
2001/03/13,0.014829
2001/03/14,-0.025842
2001/03/15,0.005871
2001/03/16,-0.019624
2001/03/19,0.017627
2001/03/20,-0.024077
2001/03/21,-0.017924
2001/03/22,-0.004064
2001/03/23,0.019909
2001/03/26,0.011282
2001/03/27,0.025575
2001/03/28,-0.024430
2001/03/29,-0.004630
2001/03/30,0.010784
2001/04/02,-0.012462
2001/04/03,-0.034393
2001/04/04,-0.002901
2001/04/05,0.043680
2001/04/06,-0.019984
2001/04/09,0.008117
2001/04/10,0.027066
2001/04/11,-0.002131
2001/04/12,0.015104
2001/04/16,-0.003228
2001/04/17,0.010282
2001/04/18,0.038890
2001/04/19,0.012551
2001/04/20,-0.008551
2001/04/23,-0.014980
2001/04/24,-0.012161
2001/04/25,0.015941
2001/04/26,0.004696
2001/04/27,0.015010
2001/04/30,-0.002865
2001/05/01,0.013590
2001/05/02,0.000782
2001/05/03,-0.014873
2001/05/04,0.014440
2001/05/07,-0.002447
2001/05/08,-0.001828
2001/05/09,-0.004488
2001/05/10,-0.000287
2001/05/11,-0.007577
2001/05/14,0.002609
2001/05/15,0.000416
2001/05/16,0.028453
2001/05/17,0.002724
2001/05/18,0.002693
2001/05/21,0.016154
2001/05/22,-0.002628
2001/05/23,-0.015526
2001/05/24,0.003196
2001/05/25,-0.011816
2001/05/29,-0.007794
2001/05/30,-0.015655
2001/05/31,0.006202
2001/06/01,0.003862
2001/06/04,0.005108
2001/06/05,0.012990
2001/06/06,-0.010549
2001/06/07,0.005457
2001/06/08,-0.009397
2001/06/11,-0.008356
2001/06/12,0.001164
2001/06/13,-0.011347
2001/06/14,-0.017502
2001/06/15,-0.004517
2001/06/18,-0.004883
2001/06/19,0.003434
2001/06/20,0.008709
2001/06/21,0.011364
2001/06/22,-0.009450
2001/06/25,-0.005509
2001/06/26,-0.001510
2001/06/27,-0.004676
2001/06/28,0.012493
2001/06/29,-0.001452
2001/07/02,0.010037
2001/07/03,-0.001827
2001/07/05,-0.012321
2001/07/06,-0.023498
2001/07/09,0.006879
2001/07/10,-0.014398
2001/07/11,-0.001134
2001/07/12,0.023691
2001/07/13,0.006241
2001/07/16,-0.010883
2001/07/17,0.009971
2001/07/18,-0.005542
2001/07/19,0.006053
2001/07/20,-0.003432
2001/07/23,-0.016369
2001/07/24,-0.016272
2001/07/25,0.016080
2001/07/26,0.010449
2001/07/27,0.002402
2001/07/30,-0.001078
2001/07/31,0.005571
2001/08/01,0.003880
2001/08/02,0.003964
2001/08/03,-0.005243
2001/08/06,-0.011422
2001/08/07,0.003265
2001/08/08,-0.017328
2001/08/09,-0.000084
2001/08/10,0.005687
2001/08/13,0.000949
2001/08/14,-0.003828
2001/08/15,-0.007339
2001/08/16,0.003090
2001/08/17,-0.016663
2001/08/20,0.008124
2001/08/21,-0.012079
2001/08/22,0.006956
2001/08/23,-0.002763
2001/08/24,0.019654
2001/08/27,-0.004827
2001/08/28,-0.015010
2001/08/29,-0.011115
2001/08/30,-0.017038
2001/08/31,0.004030
2001/09/04,-0.000565
2001/09/05,-0.001059
2001/09/06,-0.022390
2001/09/07,-0.018637
2001/09/10,0.006226
2001/09/17,-0.049216
2001/09/18,-0.005805
2001/09/19,-0.016112
2001/09/20,-0.031060
2001/09/21,-0.019034
2001/09/24,0.038983
2001/09/25,0.008790
2001/09/26,-0.005167
2001/09/27,0.011489
2001/09/28,0.021922
2001/10/01,-0.002296
2001/10/02,0.012306
2001/10/03,0.019927
2001/10/04,-0.002471
2001/10/05,0.001636
2001/10/08,-0.008344
2001/10/09,-0.005356
2001/10/10,0.022938
2001/10/11,0.015208
2001/10/12,-0.005267
2001/10/15,-0.001530
2001/10/16,0.006936
2001/10/17,-0.018633
2001/10/18,-0.007873
2001/10/19,0.004557
2001/10/22,0.015296
2001/10/23,-0.004698
2001/10/24,0.000387
2001/10/25,0.013721
2001/10/26,0.004109
2001/10/29,-0.023818
2001/10/30,-0.017166
2001/10/31,-0.000009
2001/11/01,0.022948
2001/11/02,0.002860
2001/11/05,0.014386
2001/11/06,0.014526
2001/11/07,-0.002735
2001/11/08,0.002456
2001/11/09,0.001582
2001/11/12,-0.001767
2001/11/13,0.018563
2001/11/14,0.001861
2001/11/15,0.000903
2001/11/16,-0.003143
